Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
46.1200	1.9665	0.0000	0.0000	21.67	0.80	0.0800	0.0000	1.7333
46.6200	1.9466	0.0000	0.0000	24.17	0.89	0.0200	0.0000	0.4833
47.0400	1.9302	0.0000	0.0000	25.00	0.92	0.0000	0.0000	3.0000
47.8400	1.8998	0.0000	0.0000	25.83	0.95	0.1600	0.0000	0.0000
47.9800	1.8946	0.0000	0.0000	25.00	0.92	0.1200	0.0000	2.0000
48.3200	1.8820	0.0000	0.0000	20.00	0.74	0.0400	0.0000	2.0000
48.7000	1.8682	0.0000	0.0000	29.17	1.08	0.1200	0.0000	1.1667
49.1600	1.8518	0.0000	0.0000	22.50	0.83	0.1200	0.0000	0.9000
49.9200	1.8254	0.0000	0.0000	44.17	1.63	0.0200	0.0000	7.0667
50.1000	1.8192	0.0000	0.0000	433.33	16.01	0.0800	0.0000	26.0000
50.5400	1.8044	0.0000	0.0000	91.67	3.39	0.0800	0.0000	9.1667
50.6800	1.7998	0.0000	0.0000	58.33	2.16	0.1000	0.0000	7.0000
51.1200	1.7853	0.0000	0.0000	36.67	1.35	0.0800	0.0000	1.4667
51.2000	1.7827	0.0000	0.0000	30.00	1.11	0.1200	0.0000	1.8000
51.4400	1.7749	0.0000	0.0000	60.83	2.25	0.1400	0.0000	1.2167
51.6000	1.7698	0.0000	0.0000	23.33	0.86	0.0200	0.0000	0.9333
52.1200	1.7534	0.0000	0.0000	20.83	0.77	0.0200	0.0000	0.4167
52.2600	1.7490	0.0000	0.0000	20.83	0.77	0.0000	0.0000	0.4167
52.9400	1.7281	0.0000	0.0000	25.83	0.95	0.1600	0.0000	0.5167
53.1600	1.7215	0.0000	0.0000	33.33	1.23	0.0200	0.0000	4.0000
53.6600	1.7066	0.0000	0.0000	20.00	0.74	0.0200	0.0000	1.2000
54.4000	1.6852	0.0000	0.0000	26.67	0.99	0.1400	0.0000	0.0000
54.8400	1.6727	0.0000	0.0000	83.33	3.08	0.0000	0.0000	6.6667
55.0000	1.6682	0.0000	0.0000	49.17	1.82	0.1200	0.0000	3.9333
55.2800	1.6604	0.0000	0.0000	55.83	2.06	0.0200	0.0000	2.2333
55.4200	1.6565	0.0000	0.0000	22.50	0.83	0.0400	0.0000	2.7000
55.6800	1.6494	0.0000	0.0000	90.00	3.33	0.0000	0.0000	5.4000
55.8400	1.6451	0.0000	0.0000	64.17	2.37	0.1600	0.0000	3.8500
56.9600	1.6153	0.0000	0.0000	21.67	0.80	0.0600	0.0000	1.7333
57.2000	1.6091	0.0000	0.0000	25.00	0.92	0.0200	0.0000	1.5000
57.6000	1.5989	0.0000	0.0000	20.83	0.77	0.0600	0.0000	2.9167
57.9600	1.5898	0.0000	0.0000	27.50	1.02	0.0600	0.0000	2.7500
58.6600	1.5725	0.0000	0.0000	25.83	0.95	0.1600	0.0000	2.0667
58.9000	1.5667	0.0000	0.0000	29.17	1.08	0.0000	0.0000	0.0000
59.0400	1.5633	0.0000	0.0000	25.83	0.95	0.1600	0.0000	2.5833
59.2000	1.5595	0.0000	0.0000	40.83	1.51	0.1000	0.0000	2.4500
59.3800	1.5552	0.0000	0.0000	25.00	0.92	0.0800	0.0000	0.0000
59.6200	1.5495	0.0000	0.0000	20.83	0.77	0.1000	0.0000	0.4167
59.9200	1.5424	0.0000	0.0000	354.17	13.08	0.0000	0.0000	21.2500
60.0600	1.5392	0.0000	0.0000	184.17	6.80	0.0600	0.0000	14.7333
60.4400	1.5304	0.0000	0.0000	23.33	0.86	0.0200	0.0000	2.3333
60.7800	1.5226	0.0000	0.0000	22.50	0.83	0.0800	0.0000	1.8000
60.9600	1.5186	0.0000	0.0000	20.83	0.77	0.0000	0.0000	0.4167
61.4200	1.5083	0.0000	0.0000	34.17	1.26	0.1200	0.0000	1.3667
61.7000	1.5021	0.0000	0.0000	35.83	1.32	0.1400	0.0000	5.0167
61.8600	1.4986	0.0000	0.0000	33.33	1.23	0.0200	0.0000	2.0000
62.7200	1.4801	0.0000	0.0000	22.50	0.83	0.0800	0.0000	0.0000
63.8600	1.4564	0.0000	0.0000	24.17	0.89	0.0600	0.0000	2.4167
63.9800	1.4540	0.0000	0.0000	33.33	1.23	0.1000	0.0000	4.0000
64.1800	1.4499	0.0000	0.0000	20.83	0.77	0.0800	0.0000	0.4167
64.3600	1.4463	0.0000	0.0000	20.00	0.74	0.0800	0.0000	0.4000
