,,,,,,,,,,,
Filename:,,,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_06_RT.pk,,,,,,,,
,,,,,,,,,,,
File,Created:,,,,,,,,,,
,July,13,2018,-,02:17,PM,,,,,
,,,,,,,,,,,
Specimen,Id:,,,,,,,,,,
,GS-06,RT,,,,,,,,,
,,,,,,,,,,,
Specimen,Name:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Specimen,Description:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Comment:,,,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,,,
Start,Angle:,1,deg.,,,,,,,,
Stop,Angle:,65,deg.,,,,,,,,
Num,Points:,3201,,,,,,,,,
Step,Size:,0.02,deg.,,,,,,,,
Scan,Rate:,1.000000,,,,,,,,,
Scan,Mode:,Continuous,,,,,,,,,
Wavelength:,1.540562,,,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,,,
,,,,,,,,,,,
Optics:,,,,,,,,,,,
,37.6000,2.3902,0.0000,0.0000,87.50,2.90,0.1000,0.0000,0.0000,0.0000,10.5000
,38.6000,2.3306,0.0000,0.0000,47.50,1.57,0.0800,0.0000,0.0000,0.0000,4.7500
,39.1000,2.3019,0.0000,0.0000,103.33,3.42,0.1200,0.0000,0.0000,0.0000,6.2000
,39.2400,2.2940,0.0000,0.0000,70.83,2.35,0.1200,0.0000,0.0000,0.0000,11.3333
,39.4000,2.2851,0.0000,0.0000,80.00,2.65,0.1000,0.0000,0.0000,0.0000,12.8000
,39.5200,2.2784,0.0000,0.0000,95.83,3.17,0.1000,0.0000,0.0000,0.0000,11.5000
,39.9200,2.2565,0.0000,0.0000,62.50,2.07,0.0400,0.0000,0.0000,0.0000,5.0000
,40.2400,2.2393,0.0000,0.0000,82.50,2.73,0.1200,0.0000,0.0000,0.0000,3.3000
,41.1800,2.1903,0.0000,0.0000,276.67,9.16,0.0000,0.0000,0.0000,0.0000,5.5333
,41.7800,2.1602,0.0000,0.0000,115.83,3.84,0.1400,0.0000,0.0000,0.0000,9.2667
,42.4000,2.1301,0.0000,0.0000,74.17,2.46,0.0600,0.0000,0.0000,0.0000,2.9667
,43.0000,2.1017,0.0000,0.0000,144.17,4.77,0.0600,0.0000,0.0000,0.0000,8.6500
,43.3400,2.0860,0.0000,0.0000,62.50,2.07,0.0600,0.0000,0.0000,0.0000,2.5000
,44.6000,2.0300,0.0000,0.0000,72.50,2.40,0.1600,0.0000,0.0000,0.0000,2.9000
,44.8600,2.0188,0.0000,0.0000,57.50,1.90,0.1000,0.0000,0.0000,0.0000,4.6000
,45.5200,1.9910,0.0000,0.0000,82.50,2.73,0.0400,0.0000,0.0000,0.0000,13.2000
,45.7400,1.9820,0.0000,0.0000,69.17,2.29,0.1000,0.0000,0.0000,0.0000,6.9167
,48.6000,1.8718,0.0000,0.0000,62.50,2.07,0.0400,0.0000,0.0000,0.0000,7.5000
,50.1000,1.8192,0.0000,0.0000,154.17,5.10,0.1000,0.0000,0.0000,0.0000,9.2500
,50.2200,1.8152,0.0000,0.0000,114.17,3.78,0.1000,0.0000,0.0000,0.0000,13.7000
,50.5600,1.8038,0.0000,0.0000,50.83,1.68,0.0800,0.0000,0.0000,0.0000,5.0833
,52.0600,1.7553,0.0000,0.0000,94.17,3.12,0.1000,0.0000,0.0000,0.0000,7.5333
,52.1800,1.7515,0.0000,0.0000,69.17,2.29,0.1200,0.0000,0.0000,0.0000,4.1500
,54.3200,1.6874,0.0000,0.0000,54.17,1.79,0.0200,0.0000,0.0000,0.0000,6.5000
,54.8400,1.6727,0.0000,0.0000,59.17,1.96,0.0600,0.0000,0.0000,0.0000,3.5500
,54.9800,1.6687,0.0000,0.0000,52.50,1.74,0.0600,0.0000,0.0000,0.0000,1.0500
,56.1200,1.6375,0.0000,0.0000,150.83,4.99,0.1400,0.0000,0.0000,0.0000,15.0833
,56.9000,1.6169,0.0000,0.0000,73.33,2.43,0.0800,0.0000,0.0000,0.0000,10.2667
,57.6600,1.5974,0.0000,0.0000,48.33,1.60,0.0600,0.0000,0.0000,0.0000,2.9000
,58.9000,1.5667,0.0000,0.0000,78.33,2.59,0.0800,0.0000,0.0000,0.0000,4.7000
,59.0800,1.5623,0.0000,0.0000,68.33,2.26,0.1600,0.0000,0.0000,0.0000,4.1000
,59.1800,1.5599,0.0000,0.0000,70.83,2.35,0.0600,0.0000,0.0000,0.0000,5.6667
,59.9000,1.5429,0.0000,0.0000,144.17,4.77,0.1200,0.0000,0.0000,0.0000,8.6500
,60.0600,1.5392,0.0000,0.0000,78.33,2.59,0.0800,0.0000,0.0000,0.0000,6.2667
,61.8200,1.4995,0.0000,0.0000,330.00,10.93,0.0000,0.0000,0.0000,0.0000,19.8000
,62.0000,1.4956,0.0000,0.0000,188.33,6.24,0.0600,0.0000,0.0000,0.0000,15.0667
,62.6000,1.4827,0.0000,0.0000,328.33,10.87,0.1400,0.0000,0.0000,0.0000,13.1333
,62.7800,1.4789,0.0000,0.0000,157.50,5.22,0.0800,0.0000,0.0000,0.0000,6.3000
,63.5800,1.4622,0.0000,0.0000,68.33,2.26,0.0600,0.0000,0.0000,0.0000,5.4667
