Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	FWHM(R)	ESD(R)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]	[deg]	[deg]
43.5400	2.0769	0.0000	0.0000	31.67	0.46	0.0800	0.0000	0.0000	0.0000	2.5333
45.0000	2.0128	0.0000	0.0000	44.17	0.64	0.1600	0.0000	0.0000	0.0000	6.1833
45.5200	1.9910	0.0000	0.0000	226.67	3.28	0.1000	0.0000	0.0000	0.0000	36.2667
45.8200	1.9787	0.0000	0.0000	285.00	4.12	0.0000	0.0000	0.0000	0.0000	22.8000
47.1600	1.9256	0.0000	0.0000	67.50	0.98	0.1200	0.0000	0.0000	0.0000	10.8000
48.0400	1.8923	0.0000	0.0000	41.67	0.60	0.1600	0.0000	0.0000	0.0000	6.6667
48.1800	1.8872	0.0000	0.0000	47.50	0.69	0.1600	0.0000	0.0000	0.0000	7.6000
49.0400	1.8561	0.0000	0.0000	33.33	0.48	0.0600	0.0000	0.0000	0.0000	0.6667
49.2000	1.8504	0.0000	0.0000	34.17	0.49	0.1600	0.0000	0.0000	0.0000	3.4167
50.1800	1.8165	0.0000	0.0000	995.83	14.39	0.0600	0.0000	0.0000	0.0000	59.7500
50.8000	1.7958	0.0000	0.0000	138.33	2.00	0.0200	0.0000	0.0000	0.0000	19.3667
51.2000	1.7827	0.0000	0.0000	92.50	1.34	0.0200	0.0000	0.0000	0.0000	12.9500
51.3000	1.7795	0.0000	0.0000	81.67	1.18	0.0200	0.0000	0.0000	0.0000	11.4333
51.6800	1.7673	0.0000	0.0000	104.17	1.51	0.0200	0.0000	0.0000	0.0000	4.1667
52.1800	1.7515	0.0000	0.0000	30.00	0.43	0.0200	0.0000	0.0000	0.0000	3.0000
52.3400	1.7465	0.0000	0.0000	31.67	0.46	0.0600	0.0000	0.0000	0.0000	1.9000
53.3200	1.7167	0.0000	0.0000	55.83	0.81	0.0800	0.0000	0.0000	0.0000	5.5833
54.5600	1.6806	0.0000	0.0000	30.00	0.43	0.0600	0.0000	0.0000	0.0000	1.8000
54.9000	1.6710	0.0000	0.0000	309.17	4.47	0.0200	0.0000	0.0000	0.0000	18.5500
55.0600	1.6665	0.0000	0.0000	151.67	2.19	0.0400	0.0000	0.0000	0.0000	12.1333
55.3400	1.6587	0.0000	0.0000	83.33	1.20	0.1000	0.0000	0.0000	0.0000	5.0000
55.8200	1.6456	0.0000	0.0000	50.00	0.72	0.1200	0.0000	0.0000	0.0000	7.0000
56.0000	1.6407	0.0000	0.0000	29.17	0.42	0.1400	0.0000	0.0000	0.0000	0.0000
56.7200	1.6216	0.0000	0.0000	30.00	0.43	0.0800	0.0000	0.0000	0.0000	3.0000
58.7800	1.5696	0.0000	0.0000	57.50	0.83	0.1200	0.0000	0.0000	0.0000	5.7500
59.9800	1.5410	0.0000	0.0000	558.33	8.07	0.0600	0.0000	0.0000	0.0000	44.6667
60.1600	1.5368	0.0000	0.0000	295.83	4.28	0.1400	0.0000	0.0000	0.0000	17.7500
61.5400	1.5057	0.0000	0.0000	68.33	0.99	0.0000	0.0000	0.0000	0.0000	1.3667
61.6600	1.5030	0.0000	0.0000	50.00	0.72	0.1400	0.0000	0.0000	0.0000	4.0000
61.9800	1.4960	0.0000	0.0000	40.00	0.58	0.0600	0.0000	0.0000	0.0000	5.6000
63.7400	1.4589	0.0000	0.0000	37.50	0.54	0.1000	0.0000	0.0000	0.0000	2.2500
63.8800	1.4560	0.0000	0.0000	31.67	0.46	0.0600	0.0000	0.0000	0.0000	5.0667
64.0600	1.4524	0.0000	0.0000	150.83	2.18	0.0200	0.0000	0.0000	0.0000	12.0667
64.2200	1.4491	0.0000	0.0000	88.33	1.28	0.0600	0.0000	0.0000	0.0000	12.3667
