,,,,,,,,,
Filename:,,,,,,,,,
,C:\Program,Files\Thermo,Electron\WinXRD\Datafiles\HERMAN\GEO\GS_01_RT.pk,,,,,,
,,,,,,,,,
File,Created:,,,,,,,,
,July,13,2018,-,12:38,PM,,,
,,,,,,,,,
Specimen,Id:,,,,,,,,
,GS-01,RT,,,,,,,
,,,,,,,,,
Specimen,Name:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Specimen,Description:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Comment:,,,,,,,,,
Scan,Type:,2Theta,Scan,,,,,,
Start,Angle:,1,deg.,,,,,,
Stop,Angle:,65,deg.,,,,,,
Num,Points:,3201,,,,,,,
Step,Size:,0.02,deg.,,,,,,
Scan,Rate:,1.000000,,,,,,,
Scan,Mode:,Continuous,,,,,,,
Wavelength:,1.540562,,,,,,,,
\Kalpha1:,1.540562,\Kalpha2:,1.544390,\Kbeta:,1.392218,,,,
,,,,,,,,,
Optics:,,,,,,,,,
,33.0600,2.7073,0.0000,0.0000,71.67,0.88,0.0200,0.0000,7.1667
,33.2800,2.6899,0.0000,0.0000,100.83,1.24,0.0200,0.0000,4.0333
,33.9000,2.6421,0.0000,0.0000,44.17,0.54,0.1600,0.0000,3.5333
,34.5000,2.5975,0.0000,0.0000,72.50,0.89,0.0200,0.0000,11.6000
,34.6000,2.5903,0.0000,0.0000,100.00,1.23,0.0000,0.0000,12.0000
,34.9800,2.5630,0.0000,0.0000,78.33,0.97,0.1200,0.0000,12.5333
,35.3400,2.5377,0.0000,0.0000,58.33,0.72,0.1200,0.0000,9.3333
,35.5000,2.5266,0.0000,0.0000,66.67,0.82,0.0000,0.0000,10.6667
,36.0400,2.4900,0.0000,0.0000,35.83,0.44,0.0800,0.0000,1.4333
,36.5000,2.4597,0.0000,0.0000,575.83,7.10,0.0600,0.0000,34.5500
,36.9200,2.4327,0.0000,0.0000,32.50,0.40,0.1600,0.0000,2.6000
,37.2800,2.4100,0.0000,0.0000,48.33,0.60,0.0400,0.0000,4.8333
,37.4200,2.4013,0.0000,0.0000,50.00,0.62,0.0800,0.0000,8.0000
,37.5800,2.3914,0.0000,0.0000,53.33,0.66,0.0800,0.0000,8.5333
,37.6400,2.3878,0.0000,0.0000,50.00,0.62,0.1600,0.0000,8.0000
,37.8400,2.3756,0.0000,0.0000,35.00,0.43,0.0600,0.0000,3.5000
,38.7800,2.3201,0.0000,0.0000,37.50,0.46,0.0600,0.0000,3.0000
,38.8200,2.3178,0.0000,0.0000,40.00,0.49,0.1600,0.0000,2.4000
,39.1400,2.2996,0.0000,0.0000,35.00,0.43,0.1600,0.0000,1.4000
,39.4200,2.2839,0.0000,0.0000,437.50,5.39,0.0200,0.0000,26.2500
,40.2600,2.2382,0.0000,0.0000,240.00,2.96,0.0600,0.0000,14.4000
,41.2800,2.1852,0.0000,0.0000,28.33,0.35,0.0800,0.0000,1.1333
,41.7800,2.1602,0.0000,0.0000,56.67,0.70,0.1400,0.0000,9.0667
,42.4200,2.1291,0.0000,0.0000,480.00,5.91,0.0800,0.0000,57.6000
