,param_name,param_value,abs_error,data_misfit,model_misfit,trace_cov
55,d_sigma_val,0.21327864278928113,197.42104162514823,7154.486722485431,1.5622636120940305,0.7401668622043136
56,d_sigma_val,0.30493728293872613,197.42244954224083,3500.1142980989257,1.5622095794163995,0.7401813855050481
57,d_sigma_val,0.43598714484470646,197.4253253521801,1712.4478649618163,1.5620992210857334,0.7402110445542818
58,d_sigma_val,0.6233570019315557,197.4311946422324,837.9471800760743,1.5618740250133158,0.7402715503245465
59,d_sigma_val,0.8912509381337456,197.44315331661988,410.15408274874454,1.5614153366508219,0.7403947235789469
60,mu,0.01,328.40364289518084,158234964.18039113,0.0920821289974841,0.7340049044116264
61,mu,0.015,307.96023334335507,128945395.08568616,0.17299331128802856,0.734552151171157
62,mu,0.022,283.3320410891945,96569875.1412755,0.3003941696459307,0.7352834307651366
63,mu,0.032,254.4868766760955,63593378.34206731,0.49290789636134763,0.73622216353006
64,mu,0.046,225.05373967200273,35127230.729812354,0.760214808280351,0.7373347445292214
65,mu,0.068,203.7668605964497,13555853.779738555,1.1399552438142715,0.7387164719445981
66,mu,0.1,197.41969564729993,3254201.8963426566,1.5623152720049933,0.7401529763932633
67,mu,0.147,198.93622766648434,364836.78314130945,1.9138241682966672,0.7414038107176436
68,mu,0.215,200.77349379702966,12527.091291301334,2.0901397391503154,0.7421875956637957
69,mu,0.316,201.2142885319877,54.75746403281991,2.1330156681970704,0.7425225760967592
70,n_m,5.0,268.7380269625851,78897777.37765875,0.3871679243827155,0.7353951574789189
71,n_m,15.0,200.8513795439814,9382998.466490222,1.2580065360887014,0.7390625272996464
72,n_m,25.0,197.6005630892157,1129690.9594943053,1.774521032987227,0.7409246661798442
73,n_m,35.0,199.64978541332835,136321.5356932786,2.001595047811068,0.7418197899807092
74,n_m,45.0,200.55460711425258,16467.54563464422,2.08814310899669,0.7422335214147029
75,n_m,55.0,200.98831610959633,1990.6331560107421,2.119298109224052,0.742428407726317
76,n_m,65.0,201.07402706050124,240.73055733520195,2.1302793696680453,0.7425238677336481
77,n_m,75.0,201.05868334878443,29.117925743290066,2.1341206546909475,0.7425725945940085
78,n_m,85.0,201.00349476407283,3.5223532610347874,2.1354605898462093,0.7425984093496705
79,n_m,95.0,200.9493672244447,0.4261576035590276,2.135927471964543,0.7426125158031738
80,n_m,105.0,200.9063225968282,0.05158746624525662,2.1360900666478493,0.7426204209551962
81,n_m,115.0,200.8754352928257,0.006256467570833591,2.136146674208883,0.7426249366361592
82,n_m,125.0,200.87053515657132,0.0,0.0,0.7426252637616486
83,n_m,135.0,200.87053515657132,0.0,0.0,0.7426252637616486
84,n_m,145.0,200.87053515657132,0.0,0.0,0.7426252637616486
85,n_m,155.0,200.87053515657132,0.0,0.0,0.7426252637616486
86,n_m,165.0,200.87053515657132,0.0,0.0,0.7426252637616486
87,n_m,175.0,200.87053515657132,0.0,0.0,0.7426252637616486
88,n_m,185.0,200.87053515657132,0.0,0.0,0.7426252637616486
89,n_m,195.0,200.87053515657132,0.0,0.0,0.7426252637616486
